Validation MSE loss,Validation Penalty loss,epoch,step,Training MSE loss,Training Penalty loss
2191.06884765625,0.0,0,0,,
,,0,0,2426.64892578125,0.0
240.92459106445312,0.0,1,1,,
,,1,1,2102.323486328125,0.0
2.115949415681939e-09,0.0,2,2,,
,,2,2,153.32388305664062,0.0
0.0,0.0,3,3,,
,,3,3,0.1428571492433548,0.1428571492433548
0.0,0.0,4,4,,
,,4,4,0.1428571492433548,0.1428571492433548
0.0,0.0,5,5,,
,,5,5,0.1428571492433548,0.1428571492433548
0.0,0.0,6,6,,
,,6,6,0.1428571492433548,0.1428571492433548
0.0,0.0,7,7,,
,,7,7,0.1428571492433548,0.1428571492433548
0.0,0.0,8,8,,
,,8,8,0.1428571492433548,0.1428571492433548
0.0,0.0,9,9,,
,,9,9,0.1428571492433548,0.1428571492433548
0.0,0.0,10,10,,
,,10,10,0.1428571492433548,0.1428571492433548
0.0,0.0,11,11,,
,,11,11,0.1428571492433548,0.1428571492433548
0.0,0.0,12,12,,
,,12,12,0.1428571492433548,0.1428571492433548
0.0,0.0,13,13,,
,,13,13,0.1428571492433548,0.1428571492433548
0.0,0.0,14,14,,
,,14,14,0.1428571492433548,0.1428571492433548
0.0,0.0,15,15,,
,,15,15,0.1428571492433548,0.1428571492433548
0.0,0.0,16,16,,
,,16,16,0.1428571492433548,0.1428571492433548
0.0,0.0,17,17,,
,,17,17,0.1428571492433548,0.1428571492433548
0.0,0.0,18,18,,
,,18,18,0.1428571492433548,0.1428571492433548
0.0,0.0,19,19,,
,,19,19,0.1428571492433548,0.1428571492433548
